name,total_price,compatible_drinks,cutlery,temperature,healthLabels,dietLabels,ingredients,taste,kcal,style,course_type,complexity,season,type
Single-Serving Vanilla Microwave Cake,3.5,"[red wine, herbal tea]",[],warm,"[vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'leavening', 'salt', 'vanilla']",[neutral],300.8180625008599,fusion,dessert,medium,['winter'],cream
Mocha Mousse Brownies,35.0,"[red wine, white wine]",[],warm,"[kidney-friendly, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-sodium],"['butter', 'cream', 'flour', 'sugar', 'water']","[sweet, fatty]",4304.647992812499,fusion,dessert,medium,['winter'],cream
SLOW COOKER BEEF STROGANOFF,28.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['flour', 'garlic', 'pepper', 'water']","[salty, umami]",1962.1515536390625,sibarita,main_course,medium,"['autumn', 'winter']",meat
Chocolate Peanut Butter Bars,84.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, egg-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'sugar']","[sweet, fatty]",8286.46,classic,dessert,low,['winter'],cream
Mediterranean Tuna Pasta Salad with Capers and Olives,21.0,"[red wine, white wine]",[fork],cold,"[sugar-conscious, pescatarian, dairy-free, peanut-free, tree-nut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[balanced],"['egg', 'onion', 'pepper', 'salt']","[salty, fatty]",3443.920936968534,regional,starter,low,['winter'],salad
Curried Egg Salad,14.0,"[red wine, herbal tea]",[fork],cold,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-carb],"['pepper', 'salt']",[salty],634.786963875,fusion,starter,medium,['autumn'],egg
Brioche,63.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]","[balanced, low-sodium]","['butter', 'egg', 'milk', 'salt', 'sugar', 'water']","[fatty, sweet, salty]",3130.512666666667,sibarita,starter,low,['spring'],bread
Gluten-Free Chocolate and Pistachio Pound Cake,31.5,"[red wine, herbal tea]",[],warm,"[vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, peanut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['egg', 'leavening', 'oil', 'salt', 'sugar']","[fatty, salty]",4865.9356332000125,modern,dessert,high,['summer'],cream
Risotto,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['butter', 'onion', 'pepper', 'water']",[salty],835.5816666666667,fusion,main_course,medium,['winter'],rice
Browned Butter Chocolate Chip Cookies,147.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",5518.5185,classical,dessert,low,['spring'],snack
